               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07077,             0.03073,            0.083982,           0.0052317,             0.79116,            0.024007,            0.011069,            0.039491,            0.013359,            0.067645,            0.070172,           0.0033142,           0.0033142
                   1,             0.04551,             0.02699,             0.07511,              0.5434,            0.065743,            0.054974,            0.036621,            0.036432,            0.011832,            0.063416,            0.037979,           0.0044538,           0.0044538
